course_id,club_id,course_name,holes,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00097-01,USA-AL-00097,Indian Oaks,18,72,Parkland,Willard Byrd,1976,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00098-01,USA-AL-00098,Indian Pines,18,71,Parkland,N/D,1946,Open,14,26,14,N/D,N/D,USD
USA-AL-00099-01,USA-AL-00099,Inverness,18,71,Parkland,George Cobb,1973,Closed,~,~,~,N/D,N/D,USD
USA-AL-00101-01,USA-AL-00101,Joe Wheeler State Park,18,72,Parkland,Earl Stone,1974,Open,18,21,18,N/D,N/D,USD
USA-AL-00102-01,USA-AL-00102,Kiva Dunes,18,72,Parkland,Jerry Pate,1995,Open,79,79,79,N/D,N/D,USD
USA-AL-00104-01,USA-AL-00104,Lagoon Park,18,72,Parkland,Charles Graves,1978,Open,28,32,28,Bermuda,N/D,USD
USA-AL-00105-01,USA-AL-00105,The Eagle's Nest,18,72,Parkland,Earl Stone,1972,Open,25,25,18,N/D,Bermuda,USD
USA-AL-00106-01,USA-AL-00106,Sanctuary,18,72,Parkland,Thomas H Nicol,1960,Open,10,15,10,N/D,N/D,USD
USA-AL-00109-01,USA-AL-00109,Lakewinds,18,70,Parkland,Willis Fuller,1966,Open,20,22,20,N/D,N/D,USD
USA-AL-00110-01,USA-AL-00110,Lakewood,18,72,Parkland,Ron Garl,1962,Open,14,20,14,Bermuda,Bermuda,USD
USA-AL-00111-01,USA-AL-00111,Lil Mole,18,70,Parkland,N/D,1999,Open,22.5,28.5,22.5,N/D,N/D,USD
USA-AL-00112-01,USA-AL-00112,Limestone Springs,18,72,Parkland,Jerry Pate,1999,Open,49,69,49,N/D,Bent,USD
USA-AL-00113-01,USA-AL-00113,Livingston,9,36,Parkland,N/D,1967,Closed,~,~,~,N/D,N/D,USD
USA-AL-00115-01,USA-AL-00115,Executive,18,68,Parkland,Rick Rounsavall,2001,Open,22.5,27,22.5,Bermuda,Bermuda,USD
USA-AL-00116-01,USA-AL-00116,Azalea,18,72,Parkland,Perry Maxwell/Ron Garl,1947,Open,65,65,65,Bermuda,Bermuda,USD
USA-AL-00116-02,USA-AL-00116,Dogwood,18,72,Parkland,Perry Maxwell/Joe Lee,1947,Open,65,65,65,Bermuda,Bermuda,USD
USA-AL-00117-01,USA-AL-00117,McFarland Park,18,72,Parkland,Jack White/James Burton,2009,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00118-01,USA-AL-00118,The Links,18,71,Parkland,Lyndy Lindsey,1965,Closed,~,~,~,Bermuda,Bermuda,USD
USA-AL-00119-01,USA-AL-00119,Montevallo,18,71,Parkland,N/D,1955,Open,27,32,27,N/D,N/D,USD
USA-AL-00120-01,USA-AL-00120,Montgomery,18,70,Parkland,Jock Ingles,1903,Closed,~,~,~,N/D,N/D,USD
USA-AL-00121-01,USA-AL-00121,Moores Mill,18,72,Parkland,"Glen Day, Alan Blalock",2000,Closed,~,~,~,N/D,N/D,USD
USA-AL-00122-01,USA-AL-00122,Mountain Brook,18,71,Parkland,Donald Ross,1929,Closed,~,~,~,N/D,N/D,USD
USA-AL-00123-01,USA-AL-00123,Musgrove,18,71,Parkland,Jerry Pate,1932,Closed,~,~,~,Bermuda,Bent,USD
USA-AL-00124-01,USA-AL-00124,NorthRiver,18,71,Parkland,Gary Player/Bob Cupp,1978,Closed,~,~,~,N/D,N/D,USD
USA-AL-00125-01,USA-AL-00125,Oak Mountain State Park,18,72,Parkland,Earl Stone,1973,Open,23,31,23,N/D,Bermuda,USD
USA-AL-00126-01,USA-AL-00126,Ocumulgee,18,72,Parkland,Bud Burns,1996,Open,25,28,25,N/D,N/D,USD
USA-AL-00127-01,USA-AL-00127,Ol' Colony,18,72,Parkland,Jerry Pate,2000,Open,35,45,35,N/D,N/D,USD
USA-AL-00128-01,USA-AL-00128,Old Overton,18,71,Parkland,Tom Fazio/Jerry Pate,1994,Closed,~,~,~,N/D,N/D,USD
USA-AL-00130-01,USA-AL-00130,Orange Beach,9,27,Parkland,W. R. Bean,2007,Open,15,15,15,N/D,N/D,USD
USA-AL-00131-01,USA-AL-00131,Ozark,18,72,Parkland,Ron Garl,1972,Open,39,49,39,N/D,N/D,USD
USA-AL-00132-01,USA-AL-00132,Percy Marcum,18,71,Parkland,N/D,1969,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00135-01,USA-AL-00135,Pine Harbor,18,72,Parkland,Harold Williams,1968,Closed,~,~,~,N/D,N/D,USD
USA-AL-00136-01,USA-AL-00136,Pine Hill,18,71,Parkland,Bill Scarborough,1962,Open,29,33,25,N/D,N/D,USD
USA-AL-00137-01,USA-AL-00137,Pine Tree,18,72,Parkland,George Cobb/John LaFoy,1968,Closed,~,~,~,N/D,N/D,USD
USA-AL-00138-01,USA-AL-00138,Pineview,9,35,Parkland,N/D,N/D,Closed,~,~,~,N/D,N/D,USD
USA-AL-00138-02,USA-AL-00138,Pineview (Alternate Tees),18,71,Parkland,N/D,1970,Closed,~,~,~,N/D,N/D,USD
USA-AL-00140-01,USA-AL-00140,Point Mallard,18,72,Parkland,R- John LaFoy,1969,Open,22,26,22,N/D,N/D,USD
USA-AL-00141-01,USA-AL-00141,Prattville,18,71,Parkland,N/D,1964,Closed,~,~,~,N/D,N/D,USD
USA-AL-00142-01,USA-AL-00142,Quail Creek,18,72,Parkland,Barney Shull,1988,Open,26,26,26,N/D,N/D,USD
USA-AL-00143-01,USA-AL-00143,Quail Creek,18,71,Parkland,Matthew Nail/John Eyster,1993,Open,35,35,35,N/D,N/D,USD
USA-AL-00145-01,USA-AL-00145,Quail Walk,18,72,Parkland,N/D,1974,Closed,~,~,~,N/D,N/D,USD
USA-AL-00146-01,USA-AL-00146,Rainsville,9,36,Parkland,N/D,1969,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00147-01,USA-AL-00147,Red Eagle,18,72,Parkland,Denis Griffiths,1986,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00149-01,USA-AL-00149,River Oaks,9,36,Parkland,Rickie Becks,1991,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00150-01,USA-AL-00150,River Run,18,70,Parkland,Pilgreen & White,1994,Open,20,20,20,N/D,N/D,USD
USA-AL-00150-02,USA-AL-00150,Kolomi,18,72,Parkland,Cam Hardigree,1988,Open,20,20,20,N/D,N/D,USD
USA-AL-00152-01,USA-AL-00152,Riverchase,18,72,Parkland,Joe Lee,1976,Closed,~,~,~,Bermuda,Bent,USD
USA-AL-00153-01,USA-AL-00153,Riverside,18,71,Parkland,N/D,1954,Closed,~,~,~,N/D,N/D,USD
USA-AL-00154-01,USA-AL-00154,Roanoke,9,36,Parkland,N/D,1961,Closed,~,~,~,N/D,N/D,USD
USA-AL-00155-01,USA-AL-00155,Rock Creek,18,72,Parkland,Earl Stone,1993,Open,59,59,59,N/D,N/D,USD
USA-AL-00156-01,USA-AL-00156,Roebuck Municipal,18,71,Parkland,N/D,1910,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00157-01,USA-AL-00157,Deer Haven,9,36,Parkland,N/D,1972,Open,13.2,13.2,13.2,N/D,N/D,USD
USA-AL-00158-01,USA-AL-00158,Roundabout Plantation,18,72,Parkland,Charles Hobbs,2000,Open,25,35,25,N/D,N/D,USD
USA-AL-00159-01,USA-AL-00159,Canyon/Loblolly,18,71,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00159-02,USA-AL-00159,Loblolly/Sherling,18,71,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00159-03,USA-AL-00159,Sherling/Canyon,18,72,Parkland,Robert Trent Jones Sr.,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00159-04,USA-AL-00159,Short,9,27,Parkland,Robert Trent Jones Sr.,1993,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00160-01,USA-AL-00160,Senator,18,72,Parkland,Robert Trent Jones Sr.,1999,Open,65,65,65,N/D,N/D,USD
USA-AL-00160-02,USA-AL-00160,Legislator,18,72,Parkland,Robert Trent Jones Sr.,1999,Open,65,65,65,N/D,N/D,USD
USA-AL-00160-03,USA-AL-00160,Judge,18,72,Parkland,Robert Trent Jones Sr.,1999,Open,65,65,65,N/D,N/D,USD
USA-AL-00161-01,USA-AL-00161,Lakes,18,72,Parkland,Robert Trent Jones Sr.,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00161-02,USA-AL-00161,Link,18,72,Parkland,Robert Trent Jones Sr.,1992,Open,65,65,65,N/D,N/D,USD
